tweet_id,tweet
572342978255048705,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR
572341498827522049,Drasko they didn't cook half a bird you idiot #mkr
572340476503724032,Hopefully someone cooks Drasko in the next ep of #MKR
572334712804384768,of course you were born in serbia...you're as fucked as A Serbian Film #MKR
572332655397629952,"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR"
575949086055997440,#MKR  Lost the plot - where's the big Texan with the elephant sized steaks that they all have for brekkie ?
551659627872415744,@lauracdean I love how the Islamofascists recruit 14 and 15 year old jihadis and then talk about minors in reference to 17 year olds.
551763146877452288,@ibnHlophe @eeviewonders @anjemchoudary A criminal to ISIS is anyone that does not agree with their barbaric and inhuman religion.
551768543277355009,@anjemchoudary Nothing desperate about it. Humanity realizes now that Islam declared war on it 1400 years ago and Islam will be destroyed.
551769061055811584,@anjemchoudary Idiots like you making such declarations have no contact with reality.  Islam is inhuman and must be outlawed.
551769698917167104,"@anjemchoudary Your prophet was a rapist, murderer, pedophile, caravan robber, slave trader, bigot and sexist. God would never use the scum."
551779988567891969,@anjemchoudary Maybe you can give a talk about how the 53 year old Mohammed raped the 9 year old Aisha. http://t.co/qFk56qU5Og
551783732466577408,"@jonsnowC4 @SwatiGauri When an Islamolunatic blows himself up in Baghdad, it has zero to do with Bush and Blair."
551787027725705216,@REMY119 Israel is only trying to defend itself against murderous Muslims trying to wipe it out. UN votes by Muslim nations mean nothing.
551787273256050688,@REMY119 The Muslims have exterminated Christians and Jews all over the ME and continue today.  Where are the UN resolutions?
551787717168619521,@REMY119 Muslims are fighting with every religion and none religion on the face of the earth.  But we are suppose to believe it's Jews fault
551796768623435776,It seems that Allah sits around all day obsessing about women's hands and faces showing.  I guess idiots need a god on their level.  #Islam
551797843472556032,"In Islam women must be locked in their houses, and Muslims claim this is treating them well. http://t.co/rVO5TrXmZt"
551798472827883520,"Islam considers women as one big sex organ, so no part of her can be exposed.  This is a reflection of the perversion of their prophet."
551799120080293888,To Muslims a woman walking down the street is a giant vagina demanding to be raped if she is not covered by a tent. http://t.co/XTd6RTpRB8
551804052606967810,@UmarFarooq_ ROFL.  No one with a brain will want a madrassa education.  Will they teach Mohammed's remedies? http://t.co/dxJ6oEj19B
551807282153934848,"The myth of ""moderate"" Islamic rebels.  They are all fanatics and #Islam must be outlawed.  http://t.co/BYGcWWqJW5"
551812016768172032,RT @IAMMGraham: I've been called an Islamophobe for saying Islam needs a theological reformation. Now the head of Egypt agrees: http://t.co…
551935344644349952,RT @Mola_Tiz: Palestinians accepted the 2state solution.one for Hamas and one for ISIS. http://t.co/kPVBxc6MJx
551935446427504640,RT @Juliet777777: Norway sees huge drop crime as large number  Muslim illegals deported  http://t.co/6VBvvPWn1Q @FrancsPays @DutchDL @OZzSu…
551984700764332032,"RT @DilanaKurdi: Yazidi children who are taken from their parents, forcibly converted to Islam! #Sinjar #Shengal http://t.co/wwzplHld7f"
552131027590586368,@anjemchoudary Come and get your Jizya scumbag.  I have it waiting in .40 cal copper and lead.
552132765592727553,@anjemchoudary Islam is a religion with zero spiritual content.  But it tells you exactly how to wipe your ass.
552133306553073665,@anjemchoudary Accepting the idea that Allah obsesses over how we take a dump shows just how utterly insane this inbred religion is.
552178267927883776,Imam's who disagree with Jihad are attacked by Muslims.  So where are these moderate Muslims?  #Islam http://t.co/hkh5tyEIej
552242912487305218,@alikoeln He is following the example of his prophet who married one of his wives at 6. They do everything their prophet does exactly. #Isam
552243885196734464,"Following the example of the pedophile prophet Mohammed in every detail, one ISIS militant is marrying a 7 year old child in Mosul. #Islam"
552245992721252352,RT @PeterTownsend7: #ISIS #Islam PC Puzzle: Converting to a religion of peace leading to violence? http://t.co/TBJUsaeMUH http://t.co/G4xOh…
552246388025982976,"@MrAlMubarak Yes, they tried to murder their way to heaven.  A total idiot would believe in such an Allah."
552247283438587905,"@ummayman90 @wood_brwood333 For example, in Medina Mohammed said, kindly cut off the heads of these 600 Jewish men and enslave their women."
552247950039326720,@TII99 That is a total lie.  Minorities in Muslim lands have been exterminated for 1400 years.
552248563330482176,@suranie Exactly.  Merkel is defending this.  And the protesters are called Islamophobes for being against it. http://t.co/08ZwRcTo88
552252662381432832,@MoAnsar @arennie44 Of course it is #Islam.  The Quran approves of both slavery and the rape of female slaves. http://t.co/axovjYZ8z0
552253146970337280,@ummayman90 Richard was king he could do what he pleased. None of your garbage has any bearing on Mohammed being a pedophile. #Islam
