tweet_id,tweet
748785969961193477,"@ThirtySecFights I would have knocked that Nigger out......from ANY distance......don't let me hit you first, nigger"
749007919946076160,@TheFinalReich's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
748696102803689472,"@MadilynGilliss The flag is only part of it, but ok girl. Your friend is on record saying ""nigger."" 🙄  https://t.co/qW9LBO47tF"
749723916998938624,@KEEMSTAR how does it feel being the cancer of YouTube? I wonder who your gonna call a pedophile or a nigger next
749664156555456512,@QQ07164284 https://t.co/NP2bYRM3uu is it against the rules for me to respond with 'ok nigger'
750018684261806081,@MarkRuffalo maybe U can help&amp;educate ppl about plight&amp;racism to #Roma #Sinti if U like&amp;tell ppl that #Gypsy is a slur&amp;racist like #Nigger
750144186255454208,@FuckedJohnny @ogxbenson lol coming from a nigger? Where's the kkk when you need them.
750215124514840577,@applyapplyapply fix your bio now nigger I go first
750891477014867969,@wavves You are a racist.  Black entertainers use the word nigger more than anyone.  You can't pretend to be offended by a word that you use
751541560580272129,@leftthumbstik @TheGreaTANK @TornVitality WILL HAPPILY MEET YOU UP NIGGER HAHA
751319669315895296,"@slothswillgetya you deserve it you dirty black nigger, i hope those sloth die of cancer right in front of your eyes"
751267395705016322,@lujan829 shut up you nigger
751806862866034690,@cozmicbaz ...well you been lied to. Look in the mirror and you'll see the original/true nigger. AND THAT'S FACT!!!!
751830283851329537,@coolgianna YOU BEST BE NIGGER
751831231793430528,"@lilaustin110 @rigsbybaby @Loves_MJB it's not an opinion lmao. You can't say the term ""nigger"" isn't racist. IT IS AND THATS IT LOL"
752137743128485888,@Avery__Harper nigger you found your baby daddy ?
752312633022439428,@norahillfiger freak you nigger
752894089398329344,@FMSupreme you are one dumb nigger
753337196636213248,"@sumohulksmash you can say what you want, what nigger? We don't care what you say, why do you guys say that so much. Why do you even care?"
753249732789538816,"@RiotWomennn I saw Don Lemon on CNN yesterday&amp;he shared that someone he was sociallyconnected with asked""how do u feel about thatas a nigger"
753239398058119170,"@nigerdoormat Where u wipe yer feet, nigger?"
753797110466830337,"@Nau7ilust Pz Vox - Funny guy, active asf and ur a fellow canadian nigger"
753765674162544640,"@JohnScarce @fouseyTUBE if this was keemstar, he would've been like ""FUCK YOU YOU FUCKING CUNT BITCH SUCK MY DICK, ALEX IS A STUPID NIGGER"""
754583110428352512,"@oZahzo boii you say nigger like every 5 seconds, if that's anyone that's you"
754818872247717888,@HazzeKun you're supposed to leave it pressed you dumb nigger
754549564414185472,@colenbooo fuck off nigger. Assault fire is your first fps game faggot kys
755025332684619776,@khloekardashian @ChloeGMoretz you still look like an ogre stop sticking up for ur whore nigger loving sister ur legit trash
755219491202760704,@metallophobe @jennsivan @KEEMSTAR fuck off alex you stupid nigger
755303930926555136,@JoeFPS_ Nasty grammar nigger asf my clan is hella popping TF u talking about I don't do Shou for the money unlike u I do it for my viewers
755473699579453440,@Ed_Edd_andEdwin a nigger or a monkey so you can't say nigga you're not black boy bye stop being anti black
755378648287510528,@Lonestarmomcom @realDonaldTrump can't hide ingrained racism no matter how hard you try it comes out NIGGER might not slip out but it shows!
755794136029028352,@HeroOfLegend69 it's me mums last name u nigger
755763416963293184,@TheEternalBot ur fighting a bot you nigger
755829645019406336,"@Just_Isaiah No negro. Blatant would be ""go back to Africa you flimsy nigger!"""
756194524297256961,@MindlessFools @WPTV You not worry about facts your mind is already made up.. look at your name a Racist Fool!  He's a Nigger in your eyes!
756020922029441024,"@_leolomeli I know you'll get it nigger, you got this Perra 😁🙌🏻"
756163532559904769,@KEEMSTAR your daughter is a stupid nigger
756611912041889793,@fineerussiann_ @BN9 WOW you must be a true nigger
756279412815986689,@MaajidNawaz @JtweetDixon Surprised they have time in between calling you a house nigger.
756296416503496704,@SotoGang you a nigger tho?
757359433504522241,@ChainFeeds lol. It's bcuz ur a nigger and the whites feel sorry for u.
757075713996365824,@TBEFuze @TBEHost stfu you nigger I'll literally hang you
757354446472962048,@LitExplo @ShadyVerse @GENGHlS @Tenser fuck you sand nigger
757470876174458880,@jjsuguitan u nigger
758131109955723264,@E12Represents @Fayme_K nigger pick up my right nut sack because your boy got my left!  Hahahaha
758765812996014080,"@rolandsmartin @KRLDGoosmannWX ""thug"" simply means ""nigger"" - you have to understand the disingenuous &amp; moral bankruptcy of your adversary"
759183502755688448,@Amphibioh @Oakly_ @ShitPussiesSay I'm stealing your Twitter name nigger
759819082439032833,@SheDontTextBack @Smooth_Orator what influence?? That you can say nigger and get away with it if you say sorry??
861630736910209024,@tuckusruckus @HyperRTs @NightRTs @FameRTs suck my ass you dirty fucking nigger
862451247638622208,"@sapiopaz if you give me time to respond. Tranny, nigger, all come from hate. y'all really think us callin y'all females comes from hate?"
863174760863281152,@Douglas_onetime banning your paypal right now nigger
863239520917094400,@Chiux123 I said they wasn't black enough and they can't say nigga or nigger! What you think of bi-racial  who say nigga or nigger?!
863312686351646721,@_burgerproject As long as your mum is not Black she can come. Unless she does not mind being called a Nigger.
863461953280376838,@Milrocko The fact that you don't know how to spell also shows that you are 100000000% nigger.
863830171203371008,@ArsenaITom that's why you called him a nigger
864004641692016640,"@IAmConradJay The lady recording this shaa! ""U should have never said nigger""."
864371890747355136,@kingkhorie OMG NIGGER WHERE HAVE U BEEN?!?!
864461405579358208,@Enzsd Nigger we stay in SA how tf you expect someone to buy you 15 gigs of data when we can barely afford a R12 cellc whatsapp bundle
864895025293012992,"@king_jessi Stop it, you did not back up like I wanted you too. This nigger could've Swiss cheese me by the time you backed up. Smh"
866139550795431936,@SlippinJimmy02 @ChrisRGun You stupid nigger
866886132721569792,@solracbrown24 Seki my oce. Nigger took the day off cause fugh dat working on ur bday! Hahaha
867714952336953344,"@CassperNyovest I'm in the Mother City broe n i was wondering, how can a Nigger get hold of ur branded clothing? u guys trading online too?"
868309041952456708,@mhny_ shut the fuck up nigger and turn ur shit box on so we can dual upload
868842830042628096,@tariqnasheed @KingKrankor @produceyou WHO the fuck are you @tariqnasheed a suspected NIGGER calling everyone else… https://t.co/Ah09i3ISTJ
683116511393918977,@plunsford1 hey excuse me I'm talking to you! You hear me nigger do you like killing dogs?
683367708251914241,@Starrpowergames @VitalSpiriit LOL man I live ur vids nigger
685527967741702145,@anatii the joint is too lit my nigger and happy birthday @CassperNyovest your verse is swaggy @nasty_csa stay dope as always youngin'
685931531093688320,"@mediocentroEN @EIChoIo stop it you bald nigger , stop hyping the ape , been avg for 2 seasons now.3 goals against depo and he is top 5"
686255872431898624,"@POTUS   Hey you dirty sand-nigger this is the real Dead President speaking. If you want to talk I'm at 929 Kelley Road, Memphis TN 38111"
686518893049974784,@AlfredKiwuyo @kpm__ Stfu you stupid nigger
686544155334545408,@TrapHouseChase @sierrajordann and that military dude got your number too god dammit. Stop being a nigger lover chase
686833369372606464,@Fact nigger you cheating O:-)
688693979416817664,@ItsNazNotNas 'nigger is not affiliated with black people' I guess your dumbass never picked up a history book then nah?
689003166734626816,@Dee_McCree watchu doing up my nigger
689335955363237888,@1AlejandraF_ shut up you nigger
689657826277486592,@desusnice @bodegaboys they gonna be calling you all types of nigger and porch monkey in the barstool comments tomorrow
690708046431985665,@_rachelsteigerw @HayesGrier What's your Nigger friend's name?
691268346722045952,@80suburbia without fail. You even forget that your waitress called you a nigger 🔥🔥🔥🔥🔥
691377587365421056,@tbradleysr @TMZ fu nigger
691128487663525888,@RiseUpBroncosMM @Legitfamo same 2 u NIGGER
691441932178952192,@RealPeterson21 ur garbage nigger
691461033039278080,@GnonProphet @OneDegenerate @SensationalSlob I've wasted enough time with u losers. Grow some balls a call a black man a nigger to his face
692516336711266304,"@clee0506 Your just as much as of a ""nigger"" as any black man ..think not?? https://t.co/vrjGMiA8WD"
692665096078770176,"@anda_mduz awe myy nigger, check you later"
693857062774792193,@OfficialChelji ofc you dont even need to ask you nigger
794218188540170240,@Cloureee @TheParkMC FOLLOW ME FUCK U NIGGER
794353215764578315,@VirtueYivo @Poneify @bIushs you are a nigger fsggot
799131756947378176,@deedhinsaan f u nigger
799660297984147456,"@MFBROOME @Chino_Pandaa yea fuck you you nigger ass black ass ""grab em by the pussy"" not supporting nigger #votetrumpforjail"
799688630474260480,@realDonaldTrump GO FUCK YOURSELF YOU RACIST HOMOPHOBIC SEXIST MISOGYNISTIC ABILIST CUNTY RETARDED NIGGER FAGGOT
800088746129506304,"@d_vhunt @WestwardHo4 @notspacekang If I wanted to call you a nigger, Id call you a nigger. Not racist for me to be called ignorant?"
800698576938631168,@Crystal1Johnson our life it's germane to stand tall when assessing somsone who just called you nigger....(to keep from acting e.g. one)
706240715957768192,@TMTRaY_ you the black one the tried to steal our money? Zachs old friend. Is this the right nigger?
706263797208485888,@MMads @ihateu310 Fred &amp; Boris are the kings of selective outrage are you kidding or did you not notice the lemon &amp; nigger jokes sent daily?
706338392934588416,@Zectics stfu idiot choke on your outback nigger food and get online
706300665153380352,@dopefumes u aint never gonna be nothin but a stinky nigger
706770364282630144,@Subject_Madderz wait until i find this video again on youtube of you on your monkey account sending rage mail calling my some kid a NIGGER
707356505696133121,@Mrf1apjacks u said nigger
709856080205996032,@mrbigjay97 fuck you wannabe nigger
709593168619151360,@fwra1234 Nigger we know you only say that cuz you're poor man
709991845623947264,@Cutcomms I'm gonna go kill myself. See you tomorrow nigger faggot
710364211726004224,@aleeyah405 i don't see why you got offended when you know damn well your own people call you nigga and nigger. You just wanted to fight.
710909383182397440,@michaelhead99 ur a stupid nigger
710664716821995520,@seamlessmendes and what about the fan that called Candice a nigger ?? You got something to say about that ??
710621083494273024,@karissah04 where you at nigger
711146520729542656,@mashdolski @vinny_wa nigger is fucking stupid..football arguments doesn't is not won by how many trophies u have won
711217744214167553,@BelgianKeeper That's like calling you a nigger because you're from Africa
712368673785311232,@HanumeAmir @OyH_yHCO  Hey nigger!!!  Do you want to suck my dick? https://t.co/SzeDSI20e7
712304849086341120,@holybadblood u wish u were that small and tan nigger
712474538030727168,@MOTYWes u dnt get it fuck nigger. Foh
