tweet_id,tweet
754802019567677440,"@tdbissell hmm, you must be the product of a woman who gave birth to her brother's baby because inbreeding is cool in Trailer Trash Town."
755230052460163072,@C0nservativeGal 😭😭😭😭😭😭 are you mad because you're nominees wife is an ex-pornstar. @FLOTUS is the example of class you tacky trailer trash
755646144202608640,@rougvie1 @sassysamosa I'm trailer trash? You the white one lol go fuck your cousins and catch this blocc
757049793197858817,@VOLSJeremy No you flapped your trap online about a kid who's barely old enough to be a teenager. Like some trailer trash asshat. Disgusting
863659039405744129,"@faithers___ Shut the fuck up, you piece of trailer trash"
868554639427457024,@67_4_17 Don't you wonder what they are thinking- this trailer trash should notgavr been elected
687841566820417536,"@HillaryClinton You are such a trailer trash, bimbo bitch. You were the worse SECSTATE to ever hold office. TRAITOR!"
712333655549603844,@RosieBrumby the missing apostrophe in your hashtag sounds more like a Southern Trailer trash beat down. #realgood #intheass
694205156427194369,@brooklyn91941 @TheFix Couldn't agree with you more! @SarahPalinUSA her 15mins was up but money dried up so she back for more-trailer trash
695802561329262592,@chriscassell85 okay I warned you trailer trash looking bitch. your girls a hoe. this wasn't about you it was about your bum ass girl
738759146493739009,@megynkelly @MoElleithee @realDonaldTrump Megyn I stop watching you. You are nothing butt trailer trash
738723629110693888,"@JamesinSELA That might stop your avg RW Republican trailer trash. We're talking about Mexicans, at least 40IQ points up on scale @cspanwj"
742934458681200640,@meganrarity no don't you be trailer trash now!
746897706862292993,@realDonaldTrump @TrumpScotland @DonaldJTrumpJr  are your trailer trash followers invited to your golf clubs ? or just to carry them ?
747447634655387648,@bbclaurak as usual withering sarcasm in respect of Corbyn. You really are a trailer trash journalist. Woof woof! Revolting Tory lapdog.
772517245511532545,@Spartan_Fury67 @channy230881 @CNN  U really are a F**king moron and obvious trailer trash trumpion....f**k U &amp; everyone who thinks like U❗️
779764549843034113,@nrbaldwin28 @cfb1515_ @B1G_exposed @barnerhater Proves how dumb you are. We do not strive to be white trailer trash...that's all you.
827577065310412802,@DTrumpExposed @WhiteHouse @POTUS @FLOTUS I have friends who get insurance through ACA you illiterate trailer trash
833882815477510146,@JeffSmith61 @DonaldJTrumpJr @kathystone1221 @POTUS @realDonaldTrump Real Americans? You mean brain dead trailer trash like yourself?
735994387126190081,"@sjhh Yeah we elected him TWICE and you couldn't do a damn thing to stop it. Now go smoke your meth, trailer trash."
783001550100828160,"@Lrihendry @LindaSuhler If you were given a choice of shagging Hillary Clinton, or young trailer trash? No contest."
785744553575940096,"@RBReich And you worked proudly for Bill Clinton, notorious rapist, serial abuser, world class liar, white trailer trash racist. What do you"
791817884817326080,@TheJasonGoth @bodysculptorokc it's embarrassingly evident how ignorant u all are. Trailer Trash on steroids
874848888833880064,"@DonaldJTrumpJr Donald , take your stroke prevention meds and psych meds, diagnosis Nazi trailer trash, co morbids,… https://t.co/zDUYzI9NKN"
820307753466003457,@NikLWik1 @TheDona73000391 @thehill that's funny. U trailer trash rustbelt turds depend on the 'gobment' the most. The irony
764868227503562752,@realDonaldTrump @nytimes oh will you just grow up. Is it any wonder your core base is trailer trash. They have no education to speak of.
