tweet_id,tweet
749352226154549248,@AounJon if you can't admit it's a positive not a negative you're retarded and proving how blinded by jealously you are lol
749601506207404032,@RURALINDIA @bainjal oh wow wen we hit hard in your face you retarded 69% start getting pissed off. Why r u 69% getting pissed off
749601942440140800,"@DiaQuery @NameFieldmt @YearOfRat They shed leaves, they don't shed themselves. Are you retarded?"
749615276098936832,@vivelafra @LindaSuhler This is retarded. Just cancel your fricken cable service.
749479628130181120,@_MrSp33dy_ @BTSpill @Pawmso @Average_AJ you know what retarded? How you're the only one commenting about something that happened 8hrs ago.
750014318012403712,"@stephenasmith You sound Retarded, BRON DID THE SAME SHIT !"
750062955165732864,@FuckJTL @PzDamo @xCeVs @unbIush I didn't think you were this retarded
750043007047565312,@joegeorge00_ lol now u being retarded goodbye sir u maaaaaaadddd 😂😂😂😂
750451100256468992,@fioses @guided_ are you retarded holy shit I've never cut over anyone you fat fuck can't believe you'd try to lie
750190432638869504,@KareemRon33 @TheHeat247 a Great shot Dude u are retarded ass hell lmaooo
750272053786402816,@Harlan @MorningsMaria @FoxBusiness don't waste UR breath Harlan That fat fake lawyer in yellow Is as retarded as lynch R laws mean nothing
750424139245056001,@Theylovekenzie you look retarded 😂
750452924778708992,@typhonious @Snstr you're retarded if you think it's in a kev
750380606572359680,@MiamiHeatian are you fucking retarded?
750681443009978368,@OnlyOneWenerAFC @LiverpoolKid3 @BenLeachCFC @neoboya @Joner500 Mate pipe down before you actually say something that is borderline retarded
750803254016114689,@DepthGFX @KingManni_ loooool are u retarded read the other tweet 😂
750553097307578368,@jooordanx0x3 @carmen_amare 🤔🤔🤔 you not retarded either Jordan
750742017181782016,"@_haleywilliamss @malchamp15 no, the last time I spent the whole night dealing with your retarded friends."
750598051883024385,@pri__avila @fernadezzy don't make me send you back to the streets with your retarded ass .
751177377535791105,@StLouisBlain @doitfora_ are you retarded?
751096121267671040,@andieiamwhoiam No he wasn't. You are retarded.
751060960413036546,@QuaidPearson bitch hella of your tweets are fucking retarded dude. Nigga if I could I'd spit on ya and hope you looked at me crazy
750932161725816836,@yessenia_ej8 @DjNumero_Uno are you retarded Yessenia ?
750929594820153345,@YaBoiMuffinz are you fucking kidding me are you actually retarded i just said im going to sign up for the army to keep your ass safe and
750901182604935168,@WeTeachLifeSir_  ISIS- ISLAMIC state of Iraq And Syria   You sir. Are retarded
751147367274057728,@MaurathR wdym what are you retarded
751204036544782337,@Adaam_997 I said what you're saying is cute you retarded cunty fucking cunting sheep shagging whore
751126227990220804,@forever_virat @beingsalmankhan I think u forget about who holds record for 1st day collection ..retarded bhaitard
751163993520082944,@lil_mhyzroc how you retarded so?
751005960529776641,@KEEMSTAR are you really retarded? I think I know the answer (hint: I think it's yes)
751118476928966656,@devinquintana11 @NicoleDawn_11 the only time anyone ever uses a your mom joke is when they are half retarded and have nothing else to say.
750875819640254464,@LaPistolaOro lmao ur so obsessed w me its retarded get a life 😂🤔
751331715348439040,@trumping_2016 @SugarGretel you're even more retarded than him. Wait for the facts before you go accusing people
751282130278232064,@MillerTime1419 @chrisgander you're the most retarded fuck on the Internet please do society a favor and delete your Twitter
751303504438763520,@HYPEDLORD Are you retarded? Serious question.
751350057027403780,"@Dara_Yazdani This is either the worst joke ever, or you are litteraly retarded."
751450183452487682,"@slimreefah__ are you like mentally retarded , get a life and stop starting shit on Twitter for NO reason"
751872696653340672,@gregaja @G2ScreaM LOL are you retarded did you not see ELIGE and nitr0 especially vs NaVi
752004129380114432,@SkinnyFilter @LibertarianHoe bitch what? Are you retarded?
752243846419976192,@Fink911 @Jonah_Cav you must be retarded andy
752076871186001920,@TrayneshaCole yall retarded. WHAT HISTORY. IF YOU GET ARRESTED GET YOUR PIC TAKEN. U GONA BE IN HISTORY BOOKS FOR NOT DOING SHIT
752023561599012864,@CrazyLexxiCool @Oliviafoxradio Are you retarded? Because you'd have to be projecting to assume that.
751987264062763008,@MalachiBKramer @KEEMSTAR Are you retarded?
752204327721238529,@B3_Urself you so retarded ctfu
752441842759790592,@MattixArt stfu im retarded and you know that bitch
752956529980997632,@originalgoldenn @Maaelynn 😂😂😂😂😂 bro your retarded
752966885730357249,@fuckrunar are you retarded? The current promo isn't even for exp. Thats a jack of trades reward book. I use them for all my 200ms
752685645064208386,@deadjamster ur actually retarded
752954487355080704,@Adriian_Oliv are you retarded? it takes longer for you to type the question and wait for a response... the description is one sentence
752716510922153984,@fouseyTUBE broo are u okay i kno rice gum is so retarded and stupid
753356645611085827,@S_Ernesto7 are you retarded
753214467089903618,@vokdfsbreezy @DebbyHolda @VokDFSFirelines @DFSDAILYNEWS so you retarded to like you don't see all them screenshots
753227561702916097,@lad3uxiemee they might be bad but they sure are retarded. Calling me mayo Bc you think I'm white.Classic. I hope u heal from whoever hurt u
753148809455296512,@dwaynethagod @holadamilola retarded or dumb.. you shouldn't talk to yourself in 1st person https://t.co/kCa82DjEEe
753297648552116224,@pjgraysam you trying to escape the argument by comparing trump to a nazi only proves how intellectually retarded you are haha
753233651857518592,@Trinidad_Joness over Twitter after I'd already left.. Are you actually retarded? But feel free to roll through
753145051379822592,@UEFAEURO @carlsberg @SFV_ASF @MLSZhivatalos @FAWales @selecaoportugal you're fucking retarded if you vote for anything but the shaqiri goal
753641493370404865,@wp_durk @Shocky23 you are retarded lol we didn't camp spawn at all lmao.
753688922568454145,@barclord @ScottishAxe @PikeyZA Damn dude I'm sorry. I didn't know you were retarded
753394511783559168,"@AC360 @DrewGriffinCNN Once again, if you paid money to these morons for this non sense, you are retarded."
753774947755892736,@StephenMoring @juschilIin_ You literally make no sense please drink bleach you retarded cuck https://t.co/Frcly28EMr
753976370821201920,@eric2_smooth it's hot not hut you look retarded
753798536513327104,@BennieRogers they you go being retarded it's *you're not your fat ass
754101478508331008,@TheComboFiend yo it's been a while. Just wanted to remind you that you that you work for a company that makes you look retarded
753866287114096640,@TimelineDestroy your content Is fucking retarded FUCKNG KILL YOUR SELF that is fucking nasty
754313559308374016,@andreajmarkley @NewRomanGod @jefflowy @schotts you know that's a lie. Don't be retarded in your hysterics.
754264783751417856,"@Hey_Esmi ""I was merely pretending to be retarded XD"" What an utterly asinine piece of trash you are."
754339211680047104,@AaronWilliams1_ I'm gonna look like such a weirdo at the store getting 6 tubs of sour cream. That's retarded
754319133542612992,@chocobody11 our sick retarded society where killing and murdering is the only solution
754421008958750720,@Scientology   What?  I kick you in the cock tip and STOMP ON YOUR BALLS  and you got nothing for me?  .....you FUCKING retarded soccer ball
754177735132676096,@_arieskaila that's not what I said 😂 you retarded
754768972629803008,@tweettabulous you should follow my snapstories.you will realize how retarded I am @YoBlackPepper
754720784262758404,"@chinyereosuji So Killing cops is expected? You should be ashamed of yourself, stupid retarded fool."
754536868226732032,@imajmitchelI look u piece of shit give back AJ's acc are you retarded? U are not in a good position and u are going to give him probs x8
754754334504517632,@ShaunKing are you retarded seriously are you that dumb
755057398142930944,@BlackNRestless terrorism is when you harm people for political or religious purposes. U think the little retarded guy did that for a reason
755148800407109632,@ThePilotEdge @KEEMSTAR I just found the most retarded person on the planet and it is you Pilot.
755031691257864192,@MadarasMonica @AngryCit_twit @ohKatyKaty @Death2RapeGangs @TRobinsonNewEra Run along you retarded  troll!
755061462415110144,"@bitchmale_ebook @bitchmale @pzorito_ebooks your both gay,retarded and people like to hear."
755237660940042240,@Xbox 7 days now in a row... Every time it is 454 mb... FIX YOUR SHIT MICROSOFT... This is getting retarded.
755243818170085376,@jessicaalba the point is your fucking retarded ive wanted to die for 17 years you want me dead but WHY AM I STILL ALIVE!?
755194585454940160,"@ShaunTrickdYall No she said tune in, so dipshits like you could get your daily dose of retarded information. Typical stupid American"
755514271086379008,@DlSTANCES it retarded you playing right now
755284435805679616,@tayleerrr_ you retarded I swear
755480632789262340,"@CI7AY @L7Shades r you fucking retarded, ive known him for 4years why would i do that. he knows it wasnt me anyway u fucking melon. catch c"
755459426358812672,@seanspicer @MSNBC  you just showed up you are totally retarded. How do you sleep at night? Thieves and Liars stick together. Crumbling GOP.
755361921407287296,"@GamingAndPandas I have to ask,are you fucking retarded that was obviously a troll."
755416174708527104,"@gadgetovny @Yee_lmao1 I just said nobody gives a shit, it was you who had a mental breakdown after I said your hacusations are retarded."
755710925240344576,@clashley1715 @LucidHurricane_ You are clearly retarded. Where are you going to get the money for 11M work force legal wages &amp; benefits?
755797462120472578,@ffneeguhh dey the girl is literally retarded u shldnt make fun of her on social media ah bro just saying
755801576741019648,@itzpsychros_ @Temp_Zykohh &amp; your mums retarded
755592868174016513,@JonathanNg19 @markhunt1974 do you even know anything about MMA or sports? retarded fag
755601302906732544,@samuelroukin Maybe that's because you are a retarded faggot with impaired critical thinking abilities
755692113782771712,"@kimiyyi @AidanHughesy if you let shit over the Internet upset you that much you're legit retarded, close the screen lmao"
756227839628746752,"@Lewd_Imouto trading cigarettes for vaping because you want to quit is fine Trading because it's ""cooler"" is just retarded"
755979301959372800,@Younghuevona @MyNamaChef @scumshawty you can see the seams on the side of the chair are you actually retarded
756272743855824896,"@lapchiduong @kevinquach3 @INFILTRATION85 dude are you retarded or what?infil is one of the most hard-working man in the fgc,you´re salty"
755970611386671104,@alienmindset truck are you retarded
756172579707113476,@Swatticu I could just call you if I wanted to hear you being retarded
755967310460968960,@CNN Amanda you are retarded.  He got booed off stage!! No one ever has!!! Facts! Amanda face reality!!!You shouldn't be in this business.
756282076169658368,@ayyJerry @KDTrey5 are you retarded or attention whore?
756359054260187136,@A_jimale @Abdiballsohard2 @Mamba2016 your retarded or not do u not no what I'm gonna say aj are u dumb ass
756548393510572032,"@KlanBeGone but your entire thread is both asinine, and retarded so I'm really done trying to explain common sense to you. Good day."
756504344929955840,@MailSport do you know how retarded this'll look when he ends up staying
756309444036730880,@PatinKent @PatinStow @NickInMentor @LAndyman_ This short retarded chump would beat your fat stalking ass. Then go fuck your girl.
756734431868497921,@KBanks600 you just retarded that's why you ont understand lol but I'll see Wussup cuz Herb lag like a mf
756651988637605889,@lisaIombs are u fucking retarded dont u have a functioning brain? are u that ducking dense
756717751146680320,@darianbrown32 I swear you retarded 😂
756754719729647617,@KOkeegan ur retarded lol just drivin by
756863398319620096,@matt_gullickson Your wrong in saying that but you insist on keeping to your opinion to protect your retarded pride You sadistic racist fuck
757160355063881728,@Zujabes of you pay $700 for that chair you're a retarded boy lol
757166264812834817,"@KendalBernett Why do you make NZ look so retarded? https://t.co/4X2dX0TLCk ""muh flat earth"" https://t.co/nM3D0A5eoO"
757326495647928320,@asmamk @nprpolitics are you nuts or do you think we're retarded to believe it?
