Tweets,Decision
rt @helenpalsgraf: the asshat who verbally attacked #ivanka on jetblue is what's wrong w/ sore loser libs @matthewlasner #butthole #bully #ƒ,No
the democrats took a hard turn away from the days when they supported american workers now they kiss the asses of deviant law breakers,No
.@realdonaldtrump hey  fucktard  remember when you said this ... https://t.co/uovcfg4xtp,Yes
@thefaketrump: i'm just the sort of ego centric fucktard that loves to steal campaign slogans from the nazi's  andƒ https://t.co/jldgx8b2xj,No
rt @averagemonkey: so  tucker carlson's a real piece of work. by that  i mean asshat. props to @laurenduca - a real journalist to his hackeƒ,No
@realdonaldtrump it's spelt received you dumb fuck tard. i after e except after c. easy to remember. but then again you have shit for brains,Yes
@realdonaldtrump if you released your tax returns you fucktard!,No
trump thinks filling his cabinet with ugly sob's with bigger asses/double chins &amp; uglier wives he looks better.ƒ https://t.co/mnhrs3iryj,No
who was that shithead politician who said we should have public hangings to save on electricity cost? he should go hang himself! #wtf,No
@senjohnmccain please please please get your gop off their asses on this... call ryan.. tell him he has a responsibility to the nation,No
christmas-watching harry potter and well this little shithead is trump https://t.co/ghxvfdmmxq,No
rt @pooetryman: @bill_crowder_ @fromdelphi @littleredblog say what you want  asshat. you elected him  you betrayed my country  you own it!!,No
bernie sanders has a plan to fight donald trump | fusion #tard  https://t.co/fof28m4alr,No
@malawilive and what will malawi gov going to do with them is to lick their asses by providing rare precious services while agogo are dying!,No
rt @ghostbusters224: boycott trisha's cooking show!these2fat asses have betrayed the american ppl.theyrgreedyliberalassholes.dt can findƒ,No
he's gone total psycho and congress needs to get their asses back to d.c. and get his straight jacket out bigly __ https://t.co/hfccv0nmyj,No
@zooinspectors @bornfreeusa forrest lucas! asswipe scum bastard!! just like his bedmate drumpf!!,No
@realdonaldtrump you're the stupid one if you think putin isn't playing you like a fiddle. when asses mingle it gets really shitty,No
yes  lazy entitled american shithead. please tell me more about how great communism really is,Yes
@barackobama @iran @databreachtoday @governmentrf @realdonaldtrump @putinrf_eng military your mind control by russia get off me dumb asses,No
@richardbspencer you would know walls don't work if you weren't an #illiterate #inbred #ignorant fucktard.,Yes
@trout8trout @travis_miller1 and i'm not one bit frightened of these asshat trumptards. i give as good as i get. #deplorablemisogynists,No
@russelllrothrlr @qwerty91231 @denisearubin wrong again  all work related emails have been turned in. you didn't even read fbi. lying tard,No
again  trump is an asshat https://t.co/1pykatgt33,Yes
@uckfayrumptay @funder @msnbc he's a asswipe! i give less than a year to destroy our economy! wonder if they will blame president obama!,No
@ega_bun who the fuck&amp;piss do you think you are dickass? nothin but another asswipe who thinks they are the only one with freedom of speech,Yes
@nytimes yet the country can't afford health care for its citizens. what an asshat!,Yes
did they really vote trump today... like they really did betray their country by trying to save their own asses...,No
@newsstrump those 4 trump supporters we're bad asses to jump 20 black lives. i call bs,No
@realdonaldtrump f it glass their asses.,No
rt @kharly: neither can i stupidity or racism it was both that got the asswipe elected we were looking to retire not now https://t.co/pfckbƒ,Yes
rt @mexodox: lets turn this the right way round. sunni bigots r pissed off that shia kicked their asses in #aleppo and is v likeƒ,No
"please  no more ""freedom concert"" tweets. the entertainment industry is not going to save you. get off you asses &amp; call your representatives",No
rt @czonevet: the german ministers better get their heads out of their asses and get rid merkel now. https://t.co/iyvcnwtyc0,No
@mcconnellpress gets away with #treason  while @senatedems sit on their asses.  #progressives #uniteblue #democrats https://t.co/bn3acieqrp,No
@dontyndall @cbcalerts ban islam and any stupid liberal fuckhead that supports it,Others
