tweet_id,tweet
748925904513069059,@army1man1 @franz_soapbar @PhillipJHill89 @politico @LorettaLynch @billclinton You're reaching. you sound like a crazed conspiracy theorist.
756623823898746881,@JamesinSELA You exist in an alternate reality. You're a conspiracy theorist. @cspanwj
758736226388029444,@DonaldJTrumpJr Good to know your an idiotic conspiracy theorist like your father.
862652301592465408,"@PrisonPlanet Nobody gives a shit what a pill-popping alt-right British conspiracy theorist thinks. Your ""fan base""… https://t.co/GkM9JY95IV"
869763735635861506,@RGanley You are a #Russian conspiracy theorist you moronic Global Socialist pig. #FirstWord
687597844191154176,@MJoyce2244 @Deus_Abscondis @loondale @PaulNiland You provided nothing. You are a paranoid conspiracy theorist.
710142429534363648,"@CuJoe101 -  I know, I know🙄   ""Shut it, you kook! Just contrails!   What a conspiracy theorist!"" 😩    Yup, ya lemming, my bad there 👋😉"
693950214068002816,@warriorwoman212 you got shit for brains. A fucking conspiracy theorist. There are a variety of reasons why the old sheriff would...
696256838015168520,@JackMorganJ lies about everything? Jeez you sound like a Republican conspiracy theorist!
841706752718565377,@1955gregory This just proves you are a demented conspiracy theorist.  Hop on down to the pharmacy &amp; refill your Thorazine.
747437903857520640,@ELDirtyAC you a half assed conspiracy theorist tho .....besides who says God only created life on Earth? even the bible don't say that
773572821796519936,"@ScarletWinchest =Crazy conspiracy theorist, Trump cult racist, #dipshit Your TL reveals all  @multyz @TheDailyEdge https://t.co/LZIzlVShmy"
776909235431043072,@michaelallenmar @ASterling Conspiracy theorist is what liars call u if you confront them with the truth
833320640316862464,@KellyannePolls put your tinfoil hat back on and go back to listening to your conspiracy theorist and Brietbert news. Alt facts LIAR.
728043375035875329,@seanhannity watching a sellout. I wonder if he's kissing the conspiracy theorist ass tonight. Way to go u phony sellout. #douchebag
731920203798347776,@Nori_NYC @katbyrd41 @adryenn you are conspiracy theorist. You are probably a Greenwaldian
736501503637229568,@ExplosivePulse U can tell lying Conspiracy Theorist Clem what is evil is the fact vova sent in a BUK to UA &amp; it destroyed #MH17 @CT4444
851113532234104832,@stranahan You are seriously unhinged Lee went from respected journalist to batshit crazy conspiracy theorist… https://t.co/wtlCdZ1AVx
852657958848679936,@DRUDGE_REPORT @realDonaldTrump Why are you retweeting conspiracy theorist nut jobs? Get a grip - you are the PRESIDENT.
785991656814342145,@csutherland56 bruh your soo dumb chase like that doesnt even make sense you stupid conspiracy theorist
787994155955974144,"@realDonaldTrump dude your just an elderly conspiracy theorist, @nbcsnl is rigging the election lmao @realDonaldTrump ""Eat A Dick"""
874023391086489601,@PresidentCheeto @politico @realDonaldTrump @Photoshop All you are is a Hysterical tinfoil hat conspiracy theorist… https://t.co/mNjljE1uO9
880252922390614016,@graywolf @politicoalex @brianstelter You  are a conspiracy theorist with no truth
820978737227399168,"@wadefaber Wow, you are a dumbass. Conspiracy theorist moron.... You and Trump were made for each other"
824838637758140416,@realDonaldTrump @POTUS @seanhannity @FoxNews You mean Fox Spews!Hannity is a conspiracy theorist!Not real-fake news!Discuss doomsday clock?
825005084526383106,@realDonaldTrump you see a conspiracy theorist and obvious liar as being a legitimate source. Sad.
