tweet_id,tweet
748869092656971776,@LoveIsland Terry your a twat Emma your Nasty end of  https://t.co/1aPVbjQkoO
748685067556360192,"@rogerl04 @PDChina He has the people's support you idiot twat. Its US and Canada trying to flex the muscle, when its NOT needed."
748876264912683008,@katysars fuck off you little twat
749236350122098688,@annigonii Where did u go you twat
749245388847185920,@memorymoteI good boy. gives you a treat. stop being such a little twat now.
749303719024586752,@TagAnimationz @Hixerz_ cuz ur a twat. A TWAT WHO RUINS EVERYTHING IF THEY EVEN LOOK AT IT.
749204196579094528,@RastaMMALakers Tell your mom she can get her blown out twat fixed w a vaginoplasty.    @InfoIsGood
749425446098497536,@_Zeeennn your daddy licks my twat every night though
749674717813075968,"@GabsOriginalG @duncanpoundcake @Pool55SW19 @Rachael_Swindon You, you fucking twat."
750038301030117377,"@charlottechurch  well maybe that's because you've been acting like a right twat, revisit your past posts u numpty !!!"
750053689956728833,@kierFVK I love you so much you fucking twat. You need to do right by you so whatever the future holds I'll be there supporting you xxx
750243331196747776,@NME fuck off already Noel you pompous TWAT
750450219452596226,"@Shann0n_st ur a twat, should b so obvious 2 u"
750442401253261316,@Reverend_Makers @waynelineker @harrisonclarke0 Classy. Misogynistic twat. Him not you Rev.
750547510532464641,@realDonaldTrump up your ass you twat
750690909579309056,@IanAustinMP you are a massive twat
750793028290379776,@Aman_sheth don't mate me you stupid twat. Fuck off now.
750780827080990720,@Tacticallyy @Cuee911 @Zuquhh @Amplex_ @Doesntmiss @omgColossaL link your PayPal il fund you $10 you poor twat
750513297573621760,@jacobsartorius @kira_emily1 go to hell you 9 year old twat
750620302661578752,@templareternus ahahah. You joined this conversation you twat.
751200370702057472,@BorisJohnson You twat.
751165214037508100,@INFORM_CCFC or call u a twat for having a bad touch!
751338640127631360,"@DallasPD @WalshFreedom Funny, police said no he isn't. Where's your retraction, you dead beat dad twat?"
751273817167630340,@Holtfrerich assuming military background is just as ignorant as assuming that all cops are evil. You fucking twat.
751529166395285504,"@southern_mayers delusional twat, you're a horrible Christian, you Jesus wouldn't want you to follow him, he's fake by the way"
751535449458348032,@cparton082 Fuck off you prick fagget no one gives a rats ass about your political views take them &amp; shove them up ur moms twat.
751556483909844992,@piersmorgan Shut your gob you posh twat https://t.co/jW8e2aFGei
751755621079322624,@zazzafrazz He banned assault weapons you ignorant twat.
